time_seconds,raw,weight
15.528,-175.0,-1.0
15.609,283.0,-1.3
15.683,308.0,-0.9
15.755,274.0,-0.9
15.818,287.0,-1.3
15.878,322.0,-1.2
16.115,274.0,-1.3
18.063,282.0,-1.3
20.011,227.0,-1.7
21.960,247.0,-1.2
23.908,302.0,-1.0
25.854,1645.0,13.3
27.801,2539.0,2.1
29.749,583.0,-0.2
31.696,605.0,0.3
33.644,578.0,-0.1
35.591,572.0,-0.1
37.539,555.0,0.0
39.486,561.0,0.1
41.434,7858.0,111.1
43.382,38498.0,272.4
45.329,57526.0,276.8
47.277,58172.0,275.5
49.225,60057.0,232.8
51.172,61016.0,248.1
53.119,55211.0,248.5
55.067,55276.0,248.7
57.014,55240.0,248.6
58.962,55230.0,248.5
60.909,55148.0,248.1
62.857,55151.0,248.2
64.805,55160.0,248.4
66.752,55145.0,248.3
68.700,55163.0,248.2
70.647,55154.0,248.1
72.594,55145.0,248.4
74.542,55147.0,248.4
76.490,55123.0,248.2
78.437,55076.0,248.2
80.385,55114.0,248.2
82.332,55124.0,248.1
84.280,55098.0,248.1
86.228,55075.0,248.1
88.175,55133.0,248.1
90.123,55035.0,248.0
92.070,55031.0,248.1
94.018,55064.0,247.8
95.965,55029.0,247.6
97.913,55107.0,248.0
99.860,55030.0,247.8
101.808,55024.0,247.8
103.756,54949.0,247.6
105.703,55007.0,248.0
107.651,55023.0,247.7
109.599,54991.0,247.6
111.547,55003.0,247.6
113.495,54988.0,247.9
115.443,54969.0,247.7
117.390,55002.0,247.7
119.337,54979.0,247.7
121.285,54974.0,248.1
123.233,54935.0,247.6
125.180,54945.0,247.3
127.128,54952.0,247.7
129.075,54953.0,247.8
131.023,54995.0,247.9
132.972,55039.0,247.5
134.920,55001.0,247.6
136.867,54951.0,247.7
138.815,54985.0,247.8
140.762,54982.0,247.7
142.710,55011.0,247.7
144.658,54986.0,247.7
146.606,54907.0,247.4
148.554,54959.0,247.7
150.502,54899.0,247.3
152.449,54940.0,247.5
154.398,54946.0,247.6
156.345,54883.0,247.1
158.293,54872.0,247.1
160.241,54937.0,247.3
162.189,54907.0,247.4
164.137,54833.0,247.2
166.085,54941.0,247.4
168.033,54872.0,247.5
169.980,54945.0,247.5
171.929,54917.0,247.3
173.877,54881.0,247.3
175.824,54891.0,247.6
177.772,54995.0,247.6
179.720,54946.0,247.7
181.668,54992.0,247.7
183.615,55075.0,248.1
185.563,55067.0,248.0
187.511,54996.0,247.9
189.458,55043.0,247.7
191.406,54995.0,247.6
193.354,55084.0,247.7
195.301,55015.0,247.9
197.249,55001.0,247.8
199.196,55015.0,247.3
201.143,54932.0,247.5
203.090,54995.0,247.4
205.038,55001.0,247.6
206.986,55049.0,247.8
208.933,55020.0,247.7
210.881,54997.0,247.8
212.828,55003.0,247.6
214.776,55011.0,248.1
216.723,54996.0,247.5
218.671,55036.0,247.6
220.619,54985.0,247.5
222.567,54976.0,247.9
224.515,55039.0,247.6
226.462,55011.0,247.6
228.410,55061.0,247.5
230.358,54991.0,247.5
232.305,54970.0,247.6
234.253,54902.0,247.4
